stem_id,kms_Alphabet,kms_page,kms_entry_no,stem_form,stem_homonymID,stem_DE,stem_EN,stem_IDN,stem_formVarian,stem_variant_DE,stem_variant_EN,stem_variant_IDN,stem_dialectVariant,stem_etymological_form,stem_etym_form_German,stem_etymological_language_donor,stem_loanword_form,stem_loanword_language_donor,stem_source_form,stem_source_form_homonymID,stem_remark_DE,stem_remark_EN,stem_remark_IDN,stem_crossref_DE,stem_crossref_EN,stem_crossref_IDN
11_1685431862,a,2,11,eaba,NA,Grasart,Grass type,Jenis rumput,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,vgl H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida',compare H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida',bandingkan H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida'
11_1685431896,a,2,12,eʔabaʔa:ua,NA,Rochen,Ray(s),Sinar,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685432004,a,2,13,aba:i kaha:iʔi,NA,"(""es kommt [noch] eines"" =) neun","(""there follows [yet] another"") = nine","(""ada yang mengikuti [lagi] yang lain"") = sembilan",NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,§ 33 ; jedoch MOD alime afa 'nove',§ 33 ; however MOD alime afa 'nine',§ 33 ; namun MOD alime afa 'sembilan'
11_1685432114,a,2,14,eʔabakoko,NA,"Dämon, der kleine Kinder entführt",Demon who kidnaps young children,Iblis yang menculik anak kecil,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,106z11ff ; G21,106z11ff ; G21,106z11ff; G21
11_1685497746,a,3,1,abe,NA,"wenn, falls",if,jika,ape,NA,NA,NA,ape (DIA),NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685497982,a,3,2,e[ʔ]abeha,NA,Bambus,bamboo,bambu,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,H88 abèha ; ML bambu bamban,H88 Abèha ; ML Bambu Bamban,H88 Abèha; ML Bambu Bamban
11_1685498127,a,3,3,abə́ha,NA,"fertig, bereit, beendet, vorbei sein; alleine sein","to be complete , ready , completed , over ; to be alone","menjadi lengkap, siap, selesai, selesai; menyendiri",NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,bə́ha,NA,NA,NA,NA,NA,NA,NA
11_1685498175,a,3,4,abia,NA,"vorhanden, anwesend sein","to be available , present","tersedia, hadir",NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685498307,a,3,5,eabiabi,NA,"Liane, Rankpflanze","Liana , climbing plant (tendril)","Liana, tanaman panjat (sulur)",ehokarío,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685498345,a,3,6,eabixu,NA,Baumart,Tree species,Spesies pohon,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,ML lapis,Ml lapis,Ml lapis
11_1685498402,a,3,7,eabo,NA,Schwimmhölzchen am Wurfnetz,Floating sticks attached to the throw net,Tongkat apung yang terpasang pada jaring lempar,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685498469,a,3,8,eʔabóʔo:i,NA,Bananenart,type of banana,jenis pisang,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,ML pisang tanduk ; ML pisang tandok,ML pisang tanduk ; ML pisang tandok,ML pisang tanduk; ML pisang tandok,H88 èabo,H88 èabo,H88 èabo
11_1685498537,a,3,9,abu·hui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685498603,a,3,10,eabúa,NA,halbalter Garten,semi-old garden,taman semi-tua,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,H88 èaboewe 'jong kreupelbosch',H88 èaboewe 'Jong Kreupelbosch',H88 èaboewe 'semak muda'
11_1685498655,a,3,11,abuai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,s buai,see buai,lihat buai
11_1685498970,a,3,12,abue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685499169,a,4,1,ʔabuki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685499427,a,4,2,eada,NA,Kind,child,anak,eara,NA,NA,NA,NA,anak,NA,47,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685499498,a,4,3,ádaʔa,NA,so groß wie,as big as,sebesar,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685499544,a,4,4,eadada:əʔa,NA,Farn,fern,pakis,earada:əʔa,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685499594,a,4,5,eʔadeʔade,NA,Heuschreckenart,Grasshopper species,Spesies belalang,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,H88 aré aré 'Grille',H88 aré aré 'Grille',H88 aré aré 'jangkrik'
11_1685499651,a,4,6,adeo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685499674,a,4,7,eadepa,NA,Vogelart,Bird species,Spesies burung,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G4,G4,G4
11_1685499761,a,4,8,eʔadəái,NA,Bambusart,Bamboo type,Jenis bambu,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,ML bambu auer,ML bambu auer,ML bambu auer,H88 èadoea,H88 èadoea,H88 èadoea
11_1685499909,a,4,9,adəda,NA,NA,NA,NA,ododa,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685499983,a,4,10,adə́ha[pe],NA,wie beschaffen?,How?,Bagaimana?,adoo,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685500220,a,4,11,adi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685500363,a,5,1,ʔadiba,NA,fünf,five,lima,ʔariba ; ʔaliba ; ʔalibe,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,diba,NA,NA,NA,NA,NA,NA,NA
11_1685500387,a,5,2,eadipo,NA,Baumart,Tree species,Spesies pohon,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G3,G3,G3
11_1685500516,a,5,3,adiu,NA,"ihr, euch (2.Pl)","You (nom) , You (dat , acc)","Anda (nominatif) , Anda (datif , akusatif)",adúú ; ariu ; arúú ; aliu,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685500735,a,5,4,ado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685500803,a,5,5,adoo,NA,"wieso?, als ob",why? as if,mengapa? seolah-olah,adə́hape,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§ 15d ; s doo, adoho","§ 15d ; see doo , adoho","§ 15d; lihat doo , adoho"
11_1685500921,a,5,6,ʔado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685500972,a,5,7,Adoha:eʔekoa,NA,Frauenname,Female name,Nama perempuan,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,VIz6,VIz6,VIz6
11_1685501040,a,5,8,[ʔ]adoho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685501080,a,5,9,eadóua,NA,Fruchtstiel,fruit stalk,tangkai buah,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G72,G72,G72
11_1685501112,a,5,10,aduu,NA,NA,NA,NA,adiu ; aruu,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685501206,a,5,11,ʔadua,NA,zwei,two,dua,ʔarua ; ʔalua,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,dua,NA,NA,NA,NA,NA,NA,NA
11_1685501234,a,5,12,Adudui,NA,Männername,Male name,Nama laki-laki,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,VIz1,VIz1,VIz1
11_1685501301,a,5,13,aduhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685501343,a,5,14,eʔaduku,NA,"Lichtung im Wald, Grasfläche","Clearing in the forest , grassy area","Pembukaan lahan di hutan, area berumput",eʔaruku,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685498445,a,6,1,eae,1,"Fuß, Pfote; Unterkörper; auch: Fuß(dorn) eines Schildes zum Einstemmen in die Erde","Foot , paw ; Lower body ; also Foot (thorn) of a shield for hammering into the ground","Kaki, cakar; Tubuh bagian bawah; juga Kaki (duri) perisai untuk menancapkan ke tanah",eiʔo,NA,NA,NA,NA,qaqay (PAN) ; ahe (Nias),NA,52,NULL,NULL,NA,NA,NA,NA,NA,vgl kahae 'gehen',compare kahae 'go',bandingkan kahae 'pergi'
9_1685498553,a,6,2,ae,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685498686,a,6,3,eáea,NA,Mündung eines Flusses,mouth/estuary of a river,muara/ muara sungai,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,Si ai,Si ai,Si ai,NA,NA,NA
9_1685499054,a,6,4,aha,NA,NA,NA,NA,aha:e,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,selten,rarely,jarang,NA,NA,NA
9_1685499125,a,6,5,ahaa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685499569,a,6,6,aha:e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685499642,a,6,7,eahá:éda,NA,Korallen-Brücke,Coral bridge,Jembatan karang,eaheida,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G71,G71,G71
9_1685499677,a,6,8,ahãhõ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,s hãhõ,see hãhõ,lihat hãhõ
9_1685499785,a,6,9,ahãĩ,NA,"wer auch immer, irgendjemand, jeder (Sg)","whoever , someone , everyone (singular)","siapa pun , seseorang , semua orang (bentuk tunggal)",NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,hãĩ,NA,NA,NA,NA,NA,NA,NA
9_1685500094,a,7,1,ãhã:ĩ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685500195,a,7,2,eʔahã́ĩ,NA,grūner Papagei,green parrot,burung beo hijau,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,Oǃ,Oral!,Oral!,G67: eʔaháe,G67: eʔaháe,G67: eʔaháe
9_1685500349,a,7,3,eaha:iʔ[i]éda,NA,"Mensch, Leute","Man , people","Manusia, orang",NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,arch ; jetzt: ekaka,archaic ; now:ekaka,bentuk arkais; sekarang: ekaka,NA,NA,NA
9_1685500469,a,7,4,ahao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685500980,a,7,5,ahaoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685501099,a,7,6,eʔaha:oa ukoyo,NA,die edlen Teile des Wildschweins,The noble/precious parts of the wild boar,Bagian-bagian yang mulia/berharga dari babi hutan,eʔaha:ua ukoyo,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685501264,a,7,7,ʔahaʔo:i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685501326,a,7,8,eʔaha:ua ukoyo,NA,die Eingeweide des Schweins,The guts of the pig,Isi perut babi,eʔaha:oa ukoyo,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685501375,a,7,9,ahá:úʔua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685501814,a,8,1,ahe,NA,geheǃ,go (sg)!,pergi (bentuk tunggal)!,áha:e,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685501857,a,8,2,eaheida,NA,Korallenbrücke,Coral bridge,Jembatan karang,eahá:éda,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G71,G71,G71
9_1685501923,a,8,3,eʔahepeʔa,NA,Name eines ehemaligen (?) Landstriches,Name of a former (?) Region,Nama wilayah sebelumnya (?),Ahipeʔa?,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685501984,a,8,4,ahədəhəda,NA,nachdem,after,setelah,kadəhəda,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,s dəhəda,see dəhəda,lihat dəhəda
9_1685502030,a,8,5,eãhĩ,NA,jüngeres Geschwister,younger sibling,adik,eãhã:ĩ,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685502052,a,8,6,ahibi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,s hibi,see hibi,lihat hibi
9_1685502128,a,8,7,eʔahioba,NA,Baumart,Tree species,Spesies pohon,eʔioba ?,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685502238,a,8,8,Ahipeʔa,NA,"Dorf, das früher in der gebirgigen Mitte der Insel Enggano lag. Jetzt zeigt dort nur noch ein einzelner Grabstein das ehemalige Vorhandensein einer Siedlung an",Village that used to be in the mountainous center of the island of Enggano. Now only a single tombstone indicates the former existence of a settlement,Desa yang dulunya berada di pusat pegunungan pulau Enggano. Sekarang hanya ada satu batu nisan yang menandakan keberadaan sebuah pemukiman,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G2 ; vgl eʔahepeʔa,G2 ; compare eʔahepeʔa,G2 ; bandingkan eʔahepeʔa
9_1685502277,a,8,9,ahoo,NA,nachdem,after,setelah,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,§ 23b,§ 23b,§ 23b
9_1685502394,a,8,10,ahoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685502420,a,8,11,Ahoali,NA,Männername,Male name,Nama laki-laki,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685502470,a,8,12,eahoi,NA,Asche,ash,abu,eahaoi,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"109z21: ""Küche""","109z21: ""kitchen""","109z21: ""dapur"""
9_1685502531,a,8,13,Ahokaha,NA,Ort auf Enggano,Place on Enggano,Nama tempat di Enggano,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685502589,a,8,14,ahopa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685502616,a,8,15,ahuea,NA,glatt sein,to be smooth,menjadi halus,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685502646,a,8,16,ai,1,ohǃ,ohǃ,ohǃ,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685502983,a,8,17,ai,2,kommǃ,come! (sg),datang! (bentuk tunggal),ei,NA,NA,NA,ei (DIA),um-aRi ?,NA,10,NULL,NULL,NA,NA,NA,NA,NA,s yai,see yai,lihat yai
9_1685503112,a,9,1,ʔai,NA,"wir, uns (ex)","We (nom) , us (exclusive) (acc , dat)","Kami (nominatif) , kami (eksklusif) (akusatif , datif)",NA,NA,NA,NA,NA,kami (PAN) ; kai (SMtw),NA,53,NULL,NULL,NA,NA,NA,NA,NA,"§§ 4,14,151","§§ 4 ,14 ,151","§§ 4 ,14 ,151"
9_1685503160,a,9,2,eʔãĩ,NA,Schamgürtel,Pubic belt,Sabuk kemaluan,NA,NA,NA,NA,NA,kabit sakai,NA,16,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685503630,a,9,3,aʔi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685503772,a,9,4,aʔiae,NA,steige herabǃ,descend!,turun!,aʔiyae ; aʔiʔiae,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,ae,NA,NA,NA,NA,NA,NA,NA
9_1685503805,a,9,5,eaicara,NA,"Spiel, Scherz","Game , joke","Permainan, lelucon",eaitara,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685503847,a,9,6,aici,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685503874,a,9,7,eaidara,NA,"Spiel, Scherz","Game , joke","Permainan, lelucon",eaitara,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685503905,a,9,8,eaixiúa,NA,Fischart,Fish species,Spesies ikan,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,ML majau,ML majau,ML majau,NA,NA,NA
9_1685504030,a,9,9,aiʔi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685504127,a,9,10,a:iʔĩã,NA,groß,large,besar,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"88z8, 106z16 ; sonst ã:ĩʔĩõ","88z8 , 106z16 ; otherwise ã:ĩʔĩõ","88z8 , 106z16 ; jika tidak, ã: ĩʔĩõ"
9_1685504162,a,9,11,ã:ĩʔĩ́o,NA,groß,large,besar,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685504188,a,9,12,aʔiʔiae,NA,NA,NA,NA,aʔiae,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685504583,a,10,1,aiʔio?i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685504622,a,10,2,aiʔioʔoi,NA,NA,NA,NA,aʔioʔoi,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685504660,a,10,3,aiji[xi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,iji,2,DIA,Dialect,variasi dialek,NA,NA,NA
9_1685504709,a,10,4,aʔikoi,NA,NA,NA,NA,aʔekoi,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,ʔikoi,NA,NA,NA,NA,NA,NA,NA
9_1685504757,a,10,5,eainamo,NA,d Erwachsensein,adulthood,dewasa,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,Oǃ,Oral!,Oral!,s ʔinãmõ,see ʔinãmõ,lihat ʔinãmõ
9_1685504803,a,10,6,eʔainãmõã,NA,"Geschiedener(r), der/die nicht wieder heiratet (BB: I believe this should be Geschiedene(r) to mark m/f. This seems to be a typo in the printed version",Divorcee (m/f) who will not remarry,Janda (laki-laki/perempuan) yang tidak akan menikah lagi,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685504830,a,10,7,ainṍnõ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,inõnõ,NA,NA,NA,NA,NA,NA,NA
9_1685504860,a,10,8,eaiña,NA,das Kommen,the coming,yang akan datang,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,ai,NA,NA,NA,NA,NA,NA,NA
9_1685504949,a,10,9,ʔaiñã,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685505008,a,10,10,aʔioi,NA,(ver)folgeǃ,followǃ/pursue!,ikutiǃ / kejar!,aʔioʔoi,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
9_1685625555,a,10,11,aʔioʔoi,NA,"folge, verfolge, befolgeǃ","follow , pursue , obey!","ikuti, kejar, patuhi!",aiʔioʔoi ; ayaʔioi ; ayaʔioʔoi ; ayoʔoi,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,s ʔekoi ;  ʔikoi 'dgl',see ʔekoi ; ʔikoi and the like,lihat ʔekoi; ʔikoi dan sejenisnya
9_1685505083,a,10,12,aitoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,itoa,NA,NA,NA,NA,NA,NA,NA
